Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reading/page,4965,0,5800,6565.362307756107,128.67985499906354,81848.74277400013,14142.48116817724,43.96272383661243,0.0,5800,6800,7400,7700,9000,11000,20000,48000,77000,82000,82000
,Aggregated,4965,0,5800,6565.362307756107,128.67985499906354,81848.74277400013,14142.48116817724,43.96272383661243,0.0,5800,6800,7400,7700,9000,11000,20000,48000,77000,82000,82000
