Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reading/page,4930,0,5600,6384.572343898597,146.99199999813573,87909.1192579981,14055.60770791075,43.287749710645755,0.0,5600,6600,7200,7500,8700,10000,27000,52000,81000,88000,88000
,Aggregated,4930,0,5600,6384.572343898597,146.99199999813573,87909.1192579981,14055.60770791075,43.287749710645755,0.0,5600,6600,7200,7500,8700,10000,27000,52000,81000,88000,88000
