Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reading/page,10128,0,4300,4445.089328884693,125.59745300040959,17216.788276999978,14369.531990521327,88.73627216283913,0.0,4300,4900,5300,5600,6800,8500,11000,14000,16000,16000,17000
,Aggregated,10128,0,4300,4445.089328884693,125.59745300040959,17216.788276999978,14369.531990521327,88.73627216283913,0.0,4300,4900,5300,5600,6800,8500,11000,14000,16000,16000,17000
