Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reading/page,10565,0,2800,2935.863089208041,131.78058800076542,11313.409933000003,14309.910743019404,91.41962151150699,0.0,2800,3300,3700,3900,4700,5300,6900,8000,10000,11000,11000
,Aggregated,10565,0,2800,2935.863089208041,131.78058800076542,11313.409933000003,14309.910743019404,91.41962151150699,0.0,2800,3300,3700,3900,4700,5300,6900,8000,10000,11000,11000
