Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reading/page,4724,0,2300,2397.0130515247647,129.0352409996558,8024.604484002339,13975.447290431837,41.26631437446808,0.0,2300,2700,3100,3300,3900,4400,5100,5500,7100,8000,8000
,Aggregated,4724,0,2300,2397.0130515247647,129.0352409996558,8024.604484002339,13975.447290431837,41.26631437446808,0.0,2300,2700,3100,3300,3900,4400,5100,5500,7100,8000,8000
