Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reading/page,5096,0,5900,5923.210448099464,126.98819900106173,47985.85199499939,14033.157770800628,44.36098373135849,0.0,5900,6900,7600,7900,9000,10000,15000,18000,37000,48000,48000
,Aggregated,5096,0,5900,5923.210448099464,126.98819900106173,47985.85199499939,14033.157770800628,44.36098373135849,0.0,5900,6900,7600,7900,9000,10000,15000,18000,37000,48000,48000
